(Logo uploaded),(Logo téléchargé),
About,A Propos,
Active,Actif,
Add Custom Meta Tags,Ajouter des balises meta personnalisées,
Advanced,Avancé,
All required fields completed!,Tous les champs obligatoires sont remplis !,
All the images uploaded to Canvas will be auto converted to WebP for better page performance.,Toutes les images téléchargées sur Canvas seront automatiquement converties en WebP pour de meilleures performances de page.,
"An icon file with .ico extension. Should be 16 x 16 px.<br>You can generate using <a href=""https://favicon-generator.org"" target=""_blank"">favicon-generator.org</a>","Un fichier icône avec l'extension .ico. Doit être de 16 x 16 px.<br>Vous pouvez le générer sur <a href=""https://favicon-generator.org"" target=""_blank"">favicon-generator.org</a>",
App,Application,
Apps,Applications,
Are you sure you want to replace {0} with {1}?,Êtes-vous sûr de vouloir remplacer {0} par {1} ?,
Attachment,Pièce jointe,
Authenticated Access,Accès authentifié,
Auto convert images to WebP,Convertir automatiquement les images en WebP,
Background Color,Couleur d’Arrière-plan,
Basic,Basique,
Block,Bloc,
Block Template,Modèle de bloc,
Blocks,Blocs,
Body HTML,HTML du corps,
Builder,Builder,
Builder Client Script,Script client Builder,
Builder Component,Composant Builder,
Builder Page,Page Builder,
Builder Page Client Script,Script client de page Builder,
Builder Project Folder,Dossier de projet Builder,
Builder Script,Script Builder,
Builder Settings,Paramètres Builder,
Builder Variable,Variable Builder,
Buttons,Boutons,
CTA URL,URL du CTA,
Canonical URL,URL canonique,
Capture,Capturer,
Card,Carte,
Cart,Panier,
Categories,Catégories,
Category,Catégorie,
Checkout,Paiement,
Client Scripts,Scripts client,
Color,Couleur,
Column,Colonne,
Completed,Terminé,
Completion,Achèvement,
Component ID,ID du composant,
Component Name,Nom du composant,
Component replaced successfully,Composant remplacé avec succès,
Connection error. Please try again.,Erreur de connexion. Veuillez réessayer.,
Contact,Contact,
Content,Contenu,
Dark Value,Valeur sombre,
"Default HTML lang code (e.g., en, es, fr)","Code de langue HTML par défaut (ex : en, es, fr)",
Default Language,Langue par défaut,
Default Theme,Thème par défaut,
Description,Description,
Disable Indexing,Désactiver l'indexation,
Documentation,Documentation,
Draft Blocks,Blocs brouillon,
Dynamic Route,Route dynamique,
Email,Email,
Email Group,Groupe Email,
Enabled,Activé,
Error Message,Message d&#39;erreur,
Example,Exemple,
Failed,Échoué,
Failed to connect to server,Échec de la connexion au serveur,
Failed to get session,Échec de la récupération de la session,
Failed to start session,Échec du démarrage de la session,
Failed to upload file. Please try again.,Échec du téléchargement. Veuillez réessayer.,
Favicon,Favicon,
Features,Fonctionnalités,
File URL is required,L'URL du fichier est requise,
Folder Name,Nom du dossier,
Font File,Fichier de police,
Font Name,Nom de la police,
Footer,Pied de Page,
Footer Content,Contenue du pied de page,
Footer Logo,Logo du pied de page,
Footer Template,Modèle de pied de page,
For Web Page,Pour la page web,
Form,Formulaire,
General Settings,Paramètres généraux,
Generating...,Génération...,
Global script that will be loaded with every page built with Frappe Builder,Script global qui sera chargé avec chaque page créée avec Frappe Builder,
Global style that will be loaded with every page built with Frappe Builder,Style global qui sera chargé avec chaque page créée avec Frappe Builder,
Head HTML,HTML de l'en-tête,
Header,En-Tête,
Hello,Bonjour,
Home,Accueil,
Home Page,Page d'accueil,
Hours,Heures,
Image,Image,
Inspiration URLs,URLs d'inspiration,
Is Standard,Est Standard,
Is Template,Est un modèle,
Keyboard Shortcuts,Raccourcis clavier,
Label,Étiquette,
Landing Page,Page d'atterrissage,
Language,Langue,
"Language code for HTML (e.g., en, es, fr, de). Uses default if unset.","Code de langue pour HTML (ex : en, es, fr, de). Utilise la valeur par défaut si non défini.",
Layout,Disposition,
Links,Liens,
Loading Cart...,Chargement du panier...,
Loading...,Chargement...,
Log in,Se connecter,
